id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36690,Mo's Cozy Cabana,157752,Monique,Belize,Belize Islands,17.74832,-88.02474,Entire home/apt,100,3,461,2025-03-13,2.59,4,227,36,
120115,"Seaside Villas 4 2nd Flr - Pool, Beach, Jacuzzi",604999,Bobbi,Belize,Belize Islands,17.74166,-88.02395,Entire home/apt,706,2,72,2025-02-06,0.75,18,281,10,
120116,Valarosa - Sweet cottage,604999,Bobbi,Belize,Belize Islands,17.738116,-88.028534,Entire home/apt,172,2,87,2025-01-25,0.79,18,315,12,
152512,"Toucan-kit, ac, wifi, bike, tropical gardens, pool",733857,Jacqueline,Stann Creek,Stann Creek Mainland,16.52693,-88.36864,Entire home/apt,281,7,73,2024-03-25,0.45,5,89,1,
152922,rent a private room in a house,735525,Jennifer,Cayo,Cayo,17.25428,-88.76771,Private room,52,1,13,2025-01-14,0.12,1,365,2,
171294,King Deluxe,817242,Michael,Cayo,Cayo,17.16427,-89.06909,Private room,,1,44,2024-02-12,0.33,7,274,0,
171301,Cabana in a Rainforest Setting,817242,Michael,Cayo,Cayo,17.16435,-89.06896,Entire home/apt,246,1,117,2024-12-19,0.87,7,236,4,
254291,Finca Placencia oceanfront Private Beach House,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53274,-88.35957,Entire home/apt,181,2,153,2025-02-18,0.98,4,352,8,
261882,Finca Placencia Beachfront treetop cabana,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53271,-88.35972,Entire home/apt,184,1,190,2025-02-28,1.19,4,353,3,
308361,Villa San Juan,1586187,Jorge Omar,Cayo,Cayo,17.25719,-88.77812,Private room,232,1,15,2025-01-22,0.12,1,362,4,
415419,Triple Room for Group Travel,2066467,Marta,Cayo,Cayo,17.24892,-88.76021,Private room,143,2,10,2017-09-15,0.07,4,364,0,
